SORT;THEMA;Variabele;Label;Definitie;Bron;Peildatum;Verschijningsfrequentie
1541;Wonen;Whuurtslg_p;% Huur tot huurtoeslaggrens;"Aandeel woningen met een huur lager dan de huurtoeslaggrens op de totale woningvoorraad.

2015:  711 euro
2013:  681 euro
2011:   643 euro
2009: 622 euro
2007: 605 euro
2005: 583 euro

In 2015 is de definitie van de woningvoorraad aangepast. Het is verruimd met voornamelijk relatief kleine huurwoningen die voorheen buiten de definitie vielen. De cijfers tot 2015 zijn gebaseerd op de oude definitie van de woningvoorraad.

De cijfers op buurtcombinatieniveau zijn gebaseerd op de WIA-buurtindeling. N>50.";Wonen in Amsterdam ;nvt;1 keer in de twee jaar in de oneven jaren
1551;Wonen;Whuurmidden_p;% Huur midden;"Aandeel woningen met een middeldure huur op de totale woningvoorraad.

2015:  711 euro - 971 euro
2013:  681 euro - 930 euro
2011:   643 euro -900 euro
2009: 622 euro - 870 euro
2007: 605 euro - 847 euro
2005: 583 euro - 816 euro

In 2015 is de definitie van de woningvoorraad aangepast. Het is verruimd met voornamelijk relatief kleine huurwoningen die voorheen buiten de definitie vielen. De cijfers tot 2015 zijn gebaseerd op de oude definitie van de woningvoorraad.

De cijfers op buurtcombinatieniveau zijn gebaseerd op de WIA-buurtindeling. N>50.";Wonen in Amsterdam ;nvt;1 keer in de twee jaar in de oneven jaren
1561;Wonen;Whuurhoog_p;% Hoge huur;"Aandeel woningen met een hoge huur op de totale woningvoorraad.

2015:  > 971 euro
2013:  > 930 euro
2011:   > 900 euro
2009: > 870 euro
2007: > 847 euro
2005: >816 euro

In 2015 is de definitie van de woningvoorraad aangepast. Het is verruimd met voornamelijk relatief kleine huurwoningen die voorheen buiten de definitie vielen. De cijfers tot 2015 zijn gebaseerd op de oude definitie van de woningvoorraad.

De cijfers op buurtcombinatieniveau zijn gebaseerd op de WIA-buurtindeling. N>50.";Wonen in Amsterdam ;nvt;1 keer in de twee jaar in de oneven jaren
1571;Wonen;Whuurquote;Huurquote;"Kale huur minus de huurtoeslag, als percentage van het inkomen.

De cijfers op buurtcombinatieniveau zijn gebaseerd op de WIA-buurtindeling. N>50.";Wonen in Amsterdam ;nvt;1 keer in de twee jaar in de oneven jaren
1581;Wonen;Wwoning_r;Eigen woning (rapportcijfer);"Gemiddeld rapportcijfer dat bewoners geven als antwoord op de vraag: Wilt u aangeven in welke mate u tevreden bent over uw woning? (totaaloordeel).

Er wordt alleen gerapporteerd over gebieden met minstens 20 respondenten. ";Wonen in Amsterdam ;nvt;1 keer in de twee jaar in de oneven jaren
1591;Wonen;Wwoningcorp_r;Eigen corporatiewoning (rapportcijfer);"Gemiddeld rapportcijfer dat bewoners van een corporatiewoning geven als antwoord op de vraag: Wilt u aangeven in welke mate u tevreden bent over uw woning? (totaaloordeel).

Er wordt alleen gerapporteerd over gebieden met minstens 20 respondenten. ";Wonen in Amsterdam ;nvt;1 keer in de twee jaar in de oneven jaren
1601;Wonen;Wwoning65_r;Eigen woning 65+ (rapportcijfer);"Gemiddeld rapportcijfer dat bewoners van 65 jaar of ouder geven als antwoord op de vraag: Wilt u aangeven in welke mate u tevreden bent over uw woning? (totaaloordeel).

Er wordt alleen gerapporteerd over gebieden met minstens 20 respondenten. ";Wonen in Amsterdam ;nvt;1 keer in de twee jaar in de oneven jaren
1611;Wonen;Wonderhoudwoning_r;Staat onderhoud eigen woning (rapportcijfer);"Gemiddeld rapportcijfer dat bewoners geven als antwoord op de vraag: Hoe beoordeelt u de staat van onderhoud van uw woning?

Er wordt alleen gerapporteerd over gebieden met minstens 20 respondenten. ";Wonen in Amsterdam ;nvt;1 keer in de twee jaar in de oneven jaren
1621;Wonen;ORonderhoudwoningen_r;Onderhoud woningen buurt (rapportcijfer);"Gemiddeld rapportcijfer dat bewoners geven als antwoord op de vraag: Hoe beordeelt u de staat van onderhoud van de woningen in de buurt? (1= ruim onvoldoende, 10 = ruim voldoende).

Er wordt alleen gerapporteerd over gebieden met minstens 20 respondenten. ";Wonen in Amsterdam ;nvt;1 keer in de twee jaar in de oneven jaren
1631;Wonen;Wverhuis_p;% Verhuisgeneigden;"Aandeel bewoners dat de komende twee jaar wil verhuizen.

De cijfers op buurtcombinatieniveau zijn gebaseerd op de WIA-buurtindeling. Er wordt alleen gerapporteerd over gebieden met minstens 50 respondenten. ";Wonen in Amsterdam ;nvt;1 keer in de twee jaar in de oneven jaren
1641;Wonen;Wverhuis65_p;% Verhuisgeneigden 65+;"Aandeel bewoners van 65 jaar en ouder dat de komende twee jaar wil verhuizen.

De cijfers op buurtcombinatieniveau zijn gebaseerd op de WIA-buurtindeling. Er wordt alleen gerapporteerd over gebieden met minstens 50 respondenten. ";Wonen in Amsterdam ;nvt;1 keer in de twee jaar in de oneven jaren
1651;Openbare ruimte;ORomgevingmooi_r;Uiterlijk woonomgeving (rapportcijfer);"Gemiddeld rapportcijfer dat bewoners geven als antwoord op de vraag: Hoe beoordeelt u de inrichting van de woonomgeving in uw buurt? (1=zeer lelijk, 10 =zeer mooi).

Er wordt alleen gerapporteerd over gebieden met minstens 20 respondenten. ";Wonen in Amsterdam ;nvt;1 keer in de twee jaar in de oneven jaren
1661;Openbare ruimte;ORwoningenmooi_r;Uiterlijk woningen (rapportcijfer);"Gemiddeld rapportcijfer dat bewoners geven als antwoord op de vraag: Hoe beoordeelt u de woningen in uw buurt? (1=zeer lelijk, 10 =zeer mooi).

Er wordt alleen gerapporteerd over gebieden met minstens 20 respondenten. ";Wonen in Amsterdam ;nvt;1 keer in de twee jaar in de oneven jaren
1671;Openbare ruimte;ORgroenmooi_r;Groenvoorzieningen (rapportcijfer);"Gemiddeld rapportcijfer dat bewoners geven als antwoord op de vraag: Hoe beoordeelt u de groenvoorzieningen in uw buurt? (1=zeer lelijk, 10 =zeer mooi).

Er wordt alleen gerapporteerd over gebieden met minstens 20 respondenten. ";Wonen in Amsterdam ;nvt;1 keer in de twee jaar in de oneven jaren
1681;Openbare ruimte;ORaanbodspelen_r;Speelvoorzieningen (rapportcijfer);"Gemiddeld rapportcijfer dat bewoners geven als antwoord op de vraag: Wat vindt u van het aanbod van speelvoorzieningen in uw buurt? (1=ruim onvoldoende, 10= ruim voldoende).

Er wordt alleen gerapporteerd over gebieden met minstens 20 respondenten. ";Wonen in Amsterdam ;nvt;1 keer in de twee jaar in de oneven jaren
1691;Openbare ruimte;ORverloed_p;Verloederingsscore;"De verloederingscore wordt berekend op basis van zes vragen uit de Veiligheidsmonitor. Er wordt gevraagd of men in de buurt veel overlast ervaart van:  
bekladding van muren of gebouwen
rommel op straat
hondenpoep
vernieling straatmeubilair. 
Daarnaast wordt gevraagd naar het oordeel over het onderhoud in de buurt van groen en straten.

Alle zes de vragen zijn omgescoord naar een schaal van 0 tot 100, waarbij 0 geen verloedering is en 100 zeer veel verloedering. De verloederingscore is het gemiddelde van deze zes. 

Er wordt alleen gerapporteerd over gebieden met minstens 50 respondenten. ";Veiligheidsmonitor;jaarcijfer;1 keer per jaar
1701;Openbare ruimte;OR_verhard_5;CROW-score verhardingen;"Score op basis van tellingen voor de mate waarin de verhardingen schoon zijn. De score voor verhardingen is het gemiddelde van de scores voor ‘verharding zwerfafval fijn’, ‘verharding zwerfafval grof’ en ‘verharding veegvuil in goten’. In vakken van 100 bij 100 meter is steeds gezocht naar de slechtste plek. Deze plek krijgt een score van A+, A, B, C of D, waarbij A+ het beste resultaat is (geen vuil aanwezig) en D het slechtste (veel vuil aanwezig). Om technische redenen zijn in het BBGA de letterscores als volgt omgezet naar cijfers:  

A+ =1   A=2  B=3   C =4   D=5

Per gebied worden de scores opgeteld en vervolgens de ‘90%-score’ berekend. Dit komt neer op de slechtste score die overblijft wanneer de 10% slechtste scores worden genegeerd. ";Buiten in Beeld;voorjaarsmeting;2 keer per jaar
1711;Openbare ruimte;OR_gras_5;CROW-score gras;"Score op basis van tellingen voor de mate waarin het gras schoon is. De score voor gras is het gemiddelde van de scores voor 'gras zwerfafval fijn’ en ‘gras zwerfafval grof’. 

In vakken van 100 bij 100 meter is steeds gezocht naar de slechtste plek. Deze plek krijgt een score van A+, A, B, C of D, waarbij A+ het beste resultaat is (geen vuil aanwezig) en D het slechtste (veel vuil aanwezig). Om technische redenen zijn in het BBGA de letterscores als volgt omgezet naar cijfers:  

A+ =1   A=2  B=3   C =4   D=5

Per gebied worden de scores opgeteld en vervolgens de ‘90%-score’ berekend. Dit komt neer op de slechtste score die overblijft wanneer de 10% slechtste scores worden genegeerd. ";Buiten in Beeld;voorjaarsmeting;2 keer per jaar
1721;Openbare ruimte;OR_groen_5;CROW-score groen;"Score op basis van tellingen voor de mate waarin het groen schoon is. De score voor verhardingen is het gemiddelde van de scores voor ‘beplanting zwerfafval fijn’ en ‘beplanting zwerfafval grof’. In vakken van 100 bij 100 meter is steeds gezocht naar de slechtste plek. Deze plek krijgt een score van A+, A, B, C of D, waarbij A+ het beste resultaat is (geen vuil aanwezig) en D het slechtste (veel vuil aanwezig). Om technische redenen zijn in het BBGA de letterscores als volgt omgezet naar cijfers:  

A+ =1   A=2  B=3   C =4   D=5

Per gebied worden de scores opgeteld en vervolgens de ‘90%-score’ berekend. Dit komt neer op de slechtste score die overblijft wanneer de 10% slechtste scores worden genegeerd. ";Buiten in Beeld;voorjaarsmeting;2 keer per jaar
1731;Openbare ruimte;ORschoonstraten_r;Schoon straten en stoepen (rapportcijfer);"Gemiddeld rapportcijfer dat bewoners geven als antwoord op de vraag: Hoe beoordeelt u het schoonhouden van de straten en stoepen in uw buurt? (1= ruim onvoldoende, 10 = ruim voldoende).

Er wordt alleen gerapporteerd over gebieden met minstens 20 respondenten. ";Wonen in Amsterdam ;nvt;1 keer in de twee jaar in de oneven jaren
1741;Openbare ruimte;ORschoongroen_r;Schoon groen (rapportcijfer);"Gemiddeld rapportcijfer dat bewoners geven als antwoord op de vraag: Hoe beoordeelt u het schoonhouden van de groenvoorzieningen in uw buurt? (1= ruim onvoldoende, 10 = ruim voldoende).

Er wordt alleen gerapporteerd over gebieden met minstens 20 respondenten. ";Wonen in Amsterdam ;nvt;1 keer in de twee jaar in de oneven jaren
1751;Openbare ruimte;ORschoonspelen_r;Schoon speelvoorzieningen (rapportcijfer);"Gemiddeld rapportcijfer dat bewoners geven als antwoord op de vraag: Hoe beoordeelt u het schoonhouden van de speelvoorzieningen in uw buurt? (1= ruim onvoldoende, 10 = ruim voldoende).

Er wordt alleen gerapporteerd over gebieden met minstens 20 respondenten. ";Wonen in Amsterdam ;nvt;1 keer in de twee jaar in de oneven jaren
1761;Openbare ruimte;ORonderhoudstraten_r;Onderhoud straten en stoepen (rapportcijfer);"Gemiddeld rapportcijfer dat bewoners geven als antwoord op de vraag: Hoe beordeelt u de staat van onderhoud van de straten en stoepen in uw buurt? (1= ruim onvoldoende, 10 = ruim voldoende).

Er wordt alleen gerapporteerd over gebieden met minstens 20 respondenten. ";Wonen in Amsterdam ;nvt;1 keer in de twee jaar in de oneven jaren
1771;Openbare ruimte;ORonderhoudgroen_r;Onderhoud groen (rapportcijfer);"Gemiddeld rapportcijfer dat bewoners geven als antwoord op de vraag: Hoe beordeelt u de staat van onderhoud van de groenvoorzieningen in uw buurt? (1= ruim onvoldoende, 10 = ruim voldoende).

Er wordt alleen gerapporteerd over gebieden met minstens 20 respondenten. ";Wonen in Amsterdam ;nvt;1 keer in de twee jaar in de oneven jaren
1781;Openbare ruimte;ORonderhoudspelen_r;Onderhoud speelvoorzieningen (rapportcijfer);"Gemiddeld rapportcijfer dat bewoners geven als antwoord op de vraag: Hoe beordeelt u de staat van onderhoud van de speelvoorzieningen in uw buurt? (1= ruim onvoldoende, 10 = ruim voldoende).

Er wordt alleen gerapporteerd over gebieden met minstens 20 respondenten. ";Wonen in Amsterdam ;nvt;1 keer in de twee jaar in de oneven jaren
1791;Openbare ruimte;Mvervuiling_r;Overlast vervuiling (rapportcijfer);"Gemiddeld rapportcijfer dat bewoners geven als antwoord op de vraag: In welke mate ondervindt u overlast van vervuiling? (1= ernstige overlast, 10 =geen overlast).

Er wordt alleen gerapporteerd over gebieden met minstens 20 respondenten. ";Wonen in Amsterdam;nvt;1 keer in de twee jaar in de oneven jaren
1801;Openbare ruimte;ORopp;Totale oppervlakte;Totaal oppervlak van het gebied in hectares;DRO;nvt;1 keer per jaar, met een jaar vertraging
1811;Openbare ruimte;ORwater;Oppervlakte water;Aantal hectare binnenwater;DRO;nvt;1 keer per jaar, met een jaar vertraging
1821;Openbare ruimte;ORland;Oppervlakte land;Landoppervlak in hectares (=totaal min het water);DRO;nvt;1 keer per jaar, met een jaar vertraging
1831;Openbare ruimte;ORgroen;Oppervlakte groen;Aantal hectare recreatie-, argrarisch, bos en natuurlijk terrein;DRO;nvt;1 keer per jaar, met een jaar vertraging
1841;Openbare ruimte;ORsport;Oppervlakte sport;Aantal hectare sportterrein;DRO;nvt;1 keer per jaar, met een jaar vertraging
1851;Openbare ruimte;ORwater_p;% Water;Aandeel binnenwater op de totale oppervlakte;DRO;nvt;1 keer per jaar, met een jaar vertraging
1861;Openbare ruimte;ORgroen_p;% Groen;Aandeel groen op het landoppervlak;DRO;nvt;1 keer per jaar, met een jaar vertraging
1871;Openbare ruimte;ORsport_p;% Sport;Aandeel sportterrein op het landoppervlak;DRO;nvt;1 keer per jaar, met een jaar vertraging
1881;Openbare ruimte;ORverblijf_i;Verblijversdichtheidsindex;"De Verblijversdichtheidsindex (VDI) beschrijft het aantal verblijvers per hectare openbare ruimte op een gemiddelde dag in het jaar, afgezet tegen het stedelijk gemiddelde van Amsterdam. De indexwaarde 100 staat voor het stedelijk gemiddelde. Een indexcijfer boven de 100 betekent dat het op een gemiddelde dag drukker is dan gemiddeld in Amsterdam.

Verblijvers zijn bewoners, werkzame personen, studenten en bezoekers van het gebied.In de berekening tellen bewoners dubbel, omdat zij vaker en langer in het gebied verblijven. De werkzame personen, studenten en bezoekers tellen 1 keer mee. Er is geen rekening gehouden met verkeersdrukte, zoals fietsers en auto’s die het gebied passeren op weg naar een bestemming buiten het gebied. 

Het aantal bezoekers is gebaseerd op bezoekersaantallen voor de volgende bestemmingen: hotelovernachtingen, Air BNB, bibliotheek, familie en vrienden, leden sportverenigingen, ziekenhuizen, werkbezoek, musea, attracties/evenementen en theater, rondvaartboten, winkelstraten, markten, parken, in- en uitstappers trein, P+R, pontgebruik.";OIS;jaarcijfer;1 keer per jaar
1891;Verkeer;VKhard_p;% Overlast te hard rijden ;"% Bewoners dat zegt zelf veel overlast te ervaren van te hard rijden in de buurt.

Er wordt alleen gerapporteerd over gebieden met minstens 50 respondenten. ";Veiligheidsmonitor;jaarcijfer;1 keer per jaar
1901;Verkeer;VKagressief_p;% Overlast agressief gedrag verkeer;"% Bewoners dat zegt zelf veel overlast te ervaren in de buurt van agressief gedrag in het verkeer.

Er wordt alleen gerapporteerd over gebieden met minstens 50 respondenten. ";Veiligheidsmonitor;jaarcijfer;1 keer per jaar
1911;Verkeer;Vptotaal ;Parkeerplaatsen totaal;Aantal parkeerplaatsen in de openbare ruimte.;RVE Parkeren;februari;1 keer per jaar
1921;Verkeer;Vpfiscaal;Parkeerplaatsen fiscaal;Aantal fiscale parkeerplaatsen in de openbare ruimte (inclusief Mulderplekken). Dit zijn parkeerplaatsen waarvoor parkeergeld betaald moet worden volgens de daarvoor geldende regels. ;RVE Parkeren;februari;1 keer per jaar
1931;Verkeer;Vpnietfisc;Parkeerplaatsen niet-fiscaal;Aantal niet-fiscale parkeerplaatsen in de openbare ruimte (inclusief Mulderplekken). Dit zijn parkeerplaatsen waar gratis kan worden geparkeerd.;RVE Parkeren;februari;1 keer per jaar
1941;Verkeer;VKparkeren_r;Parkeervoorzieningen (rapportcijfer);"Gemiddeld rapportcijfer dat bewoners geven als antwoord op de vraag: Wat vindt u van het aanbod van parkeervoorzieningen in uw buurt? (1=ruim onvoldoende, 10= ruim voldoende).

Er wordt alleen gerapporteerd over gebieden met minstens 20 respondenten. ";Wonen in Amsterdam ;nvt;1 keer in de twee jaar in de oneven jaren
1951;Verkeer;VKfietsparkeren_r;Fietsparkeervoorzieningen (rapportcijfer);"Gemiddeld rapportcijfer dat bewoners geven als antwoord op de vraag: Wat vindt u van het aanbod aan fietsparkeervoorzieningen in uw buurt (1=ruim onvoldoende, 10 = ruim voldoende)..

Er wordt alleen gerapporteerd over gebieden met minstens 20 respondenten. ";Wonen in Amsterdam ;nvt;1 keer in de twee jaar in de oneven jaren
1961;Verkeer;VKparkeeroverlast_r;Parkeeroverlast (rapportcijfer);"Gemiddeld rapportcijfer dat bewoners geven als antwoord op de vraag: Kunt u aangeven in welke mate u overlast ondervindt van parkeren? (1= ernstige overlast, 10 =geen overlast).

Er wordt alleen gerapporteerd over gebieden met minstens 20 respondenten. ";Wonen in Amsterdam ;nvt;1 keer in de twee jaar in de oneven jaren
1971;Verkeer;VKov_r;Aanbod OV (rapportcijfer);"Gemiddeld rapportcijfer dat bewoners geven als antwoord op de vraag: Wat vindt u van het aanbod van openbaar vervoer in uw buurt? (1=ruim onvoldoende, 10= ruim voldoende).

Er wordt alleen gerapporteerd over gebieden met minstens 20 respondenten. ";Wonen in Amsterdam ;nvt;1 keer in de twee jaar in de oneven jaren
1981;Verkeer;VKov65_r;Aanbod OV 65+ (rapportcijfer);"Gemiddeld rapportcijfer dat bewoners van 65 jaar en ouder geven als antwoord op de vraag: Wat vindt u van het aanbod van openbaar vervoer in uw buurt? (1=ruim onvoldoende, 10= ruim voldoende).

Er wordt alleen gerapporteerd over gebieden met minstens 20 respondenten. ";Wonen in Amsterdam ;nvt;1 keer in de twee jaar in de oneven jaren
1991;Verkeer;VKoverlastverkeer_r;Verkeersdrukte (rapportcijfer);"Gemiddeld rapportcijfer dat bewoners geven als antwoord op de vraag: In welke mate ondervindt u overlast van verkeersdrukte? (1= ernstige overlast, 10 =geen overlast).

Er wordt alleen gerapporteerd over gebieden met minstens 20 respondenten. ";Wonen in Amsterdam ;nvt;1 keer in de twee jaar in de oneven jaren
2001;Verkeer;VKverkeerslawaai_r;Verkeerslawaai (rapportcijfer);"Gemiddeld rapportcijfer dat bewoners geven als antwoord op de vraag: In welke mate ondervindt u overlast van verkeerslawaai? (1= ernstige overlast, 10 =geen overlast).

Er wordt alleen gerapporteerd over gebieden met minstens 20 respondenten. ";Wonen in Amsterdam ;nvt;1 keer in de twee jaar in de oneven jaren
2011;Leefbaarheid;Lbuurt_r;Eigen buurt (rapportcijfer);"Gemiddeld rapportcijfer dat bewoners geven als antwoord op de vraag: Hoe tevreden bent u met uw buurt? (totaaloordeel) (1=zeer ontevreden, 10=zeer tevreden).

Er wordt alleen gerapporteerd over gebieden met minstens 20 respondenten. ";Wonen in Amsterdam ;nvt;1 keer in de twee jaar in de oneven jaren
2021;Leefbaarheid;Lverwachtingbuurt_r;Ontwikkeling buurt (rapportcijfer);"Gemiddeld rapportcijfer dat bewoners geven als antwoord op de vraag: Hoe denkt u dat de buurt waar u woont zich de komende jaren zal ontwikkelen? (1=zeer negatief, 10 =zeer positief).

Er wordt alleen gerapporteerd over gebieden met minstens 20 respondenten. ";Wonen in Amsterdam ;nvt;1 keer in de twee jaar in de oneven jaren
2031;Leefbaarheid;Lbuurtvoor_p;% buurt vooruit;"% Bewoners dat vindt dat de buurt waar men in woont de afgelopen 12 maanden vooruit is gegaan.

Er wordt alleen gerapporteerd over gebieden met minstens 50 respondenten. ";Veiligheidsmonitor;jaarcijfer;1 keer per jaar
2041;Leefbaarheid;Lbuurtgelijk_p;% buurt gelijk ;"% Bewoners dat vindt dat de buurt waar men in woont de afgelopen 12 maanden gelijk  is gebleven.

Er wordt alleen gerapporteerd over gebieden met minstens 50 respondenten. ";Veiligheidsmonitor;jaarcijfer;1 keer per jaar
2051;Leefbaarheid;Lbuurtacht_p;% buurt achteruit;"% Bewoners dat vindt dat de buurt waar men in woont de afgelopen 12 maanden achteruit is gegaan.

Er wordt alleen gerapporteerd over gebieden met minstens 50 respondenten. ";Veiligheidsmonitor;jaarcijfer;1 keer per jaar
2061;Leefbaarheid;Lsoccoh_r;Sociale cohesie (rapportcijfer);"Sociale cohesie is berekend op basis van vier vragen uit de Veiligheidsmonitor waarin gevraagd wordt in hoeverre men het mee eens of oneens is met de volgende uitspraken: 
De mensen kennen elkaar in deze buurt nauwelijks
De mensen gaan in deze buurt op een prettige manier met elkaar om
Ik woon in een gezellige buurt, waar veel saamhorigheid is
Ik voel me thuis bij de mensen die in deze buurt wonen. 
De antwoorden worden omgescoord naar rapportcijfers. Sociale cohesie is het gemiddelde van de rapportcijfers van de vier uitspraken (waarde tussen 1 en 10). 

Er wordt alleen gerapporteerd over gebieden met minstens 50 respondenten. ";Veiligheidsmonitor;jaarcijfer;1 keer per jaar
2071;Leefbaarheid;Lsockwal_p;Kengetal sociale cohesie;"Sociale cohesie is berekend op basis van vier vragen uit de Veiligheidsmonitor waarin gevraagd wordt in hoeverre men het mee eens of oneens is met de volgende uitspraken: 
De mensen kennen elkaar in deze buurt nauwelijks
De mensen gaan in deze buurt op een prettige manier met elkaar om
Ik woon in een gezellige buurt, waar veel saamhorigheid is
Ik voel me thuis bij de mensen die in deze buurt wonen. 
Het gemiddelde percentage van de antwoorden 'helemaal niet mee eens en niet mee eens' op de eerste uitspraak en  'helemaal mee eens en mee eens' op de overige drie uitspraken  geeft het aandeel inwoners met het positief oordeel over de sociale kwaliteit weer. 

Er wordt alleen gerapporteerd over gebieden met minstens 50 respondenten. ";Veiligheidsmonitor;jaarcijfer;1 keer per jaar
2081;Leefbaarheid;Lthuisvoelen_r;Thuisvoelen in buurt (rapportcijfer);"Gemiddeld rapportcijfer dat bewoners geven als antwoord op de vraag: Voelt u zich thuis in uw buurt? (1= helemaal niet thuiis, 10 = zeer thuis).

Er wordt alleen gerapporteerd over gebieden met minstens 20 respondenten. ";Wonen in Amsterdam ;nvt;1 keer in de twee jaar in de oneven jaren
2091;Leefbaarheid;Lomganggroepenb_r;Omgang groepen (rapportcijfer);"Gemiddeld rapportcijfer dat bewoners geven als antwoord op de vraag: Hoe gaan verschillende groepen mensen in uw buurt met elkaar om? (1=zeer onprettig en 10=zeer prettig).

Er wordt alleen gerapporteerd over gebieden met minstens 20 respondenten. ";Wonen in Amsterdam ;nvt;1 keer in de twee jaar in de oneven jaren
2101;Leefbaarheid;Lbetrokken_r;Betrokkenheid buurtbewoners (rapportcijfer);"Gemiddeld rapportcijfer dat bewoners geven als antwoord op de vraag: Hoe beoordeelt u de betrokkenheid van de buurtbewoners bij de buurt? (1= geen betrokkenheid, 10= grote betrokkenheid).

Er wordt alleen gerapporteerd over gebieden met minstens 20 respondenten. ";Wonen in Amsterdam ;nvt;1 keer in de twee jaar in de oneven jaren
2111;Leefbaarheid;Loverl_p;% Overlast;"% Bewoners dat het idee heeft dat er veel overlast plaatsvindt in de buurt.

Er wordt alleen gerapporteerd over gebieden met minstens 50 respondenten. ";Veiligheidsmonitor;jaarcijfer;1 keer per jaar
2121;Leefbaarheid;Loverltoe_p;% Overlast toegenomen;"% Bewoners dat denkt dat de overlast in de buurt de afgelopen 12 maanden is toegenomen.

Er wordt alleen gerapporteerd over gebieden met minstens 50 respondenten. ";Veiligheidsmonitor;jaarcijfer;1 keer per jaar
2131;Leefbaarheid;Loverlgelijk_P;% Overlast gelijk ;"% Bewoners dat denkt dat de overlast in de buurt de afgelopen 12 maanden gelijk is gebleven.

Er wordt alleen gerapporteerd over gebieden met minstens 50 respondenten. ";Veiligheidsmonitor;jaarcijfer;1 keer per jaar
2141;Leefbaarheid;Loverlaf_p;% Overlast afgenomen;"% Bewoners dat denkt dat de overlast in de buurt de afgelopen 12 maanden is afgenomen.

Er wordt alleen gerapporteerd over gebieden met minstens 50 respondenten. ";Veiligheidsmonitor;jaarcijfer;1 keer per jaar
2151;Leefbaarheid;Lburenoverlast_r;Burenoverlast (rapportcijfer);"Kunt u met een rapportcijfer van 1 t/m 10 aangeven in welke mate u overlast ondervindt van buren? (1= ernstige overlast, 10 =geen overlast).

Er wordt alleen gerapporteerd over gebieden met minstens 20 respondenten. ";Wonen in Amsterdam ;nvt;1 keer in de twee jaar in de oneven jaren
2161;Leefbaarheid;Loverlastanderegroepen_r;Overlast andere groepen (rapportcijfer);"Kunt u met een rapportcijfer 1 t/m 10 aangeven in welke mate u overlast ondervindt van andere groepen mensen? (1= ernstige overlast, 10 =geen overlast).

Er wordt alleen gerapporteerd over gebieden met minstens 20 respondenten. ";Wonen in Amsterdam ;nvt;1 keer in de twee jaar in de oneven jaren
2171;Leefbaarheid;Lhorecaoverlast_r;Horecaoverlast (rapportcijfer);"Kunt u met een rapportcijfer van 1 t/m 10 aangeven in welke mate u overlast ondervindt van horeca? (1= ernstige overlast, 10 =geen overlast).

Er wordt alleen gerapporteerd over gebieden met minstens 20 respondenten. ";Wonen in Amsterdam ;nvt;1 keer in de twee jaar in de oneven jaren
2181;Leefbaarheid;Lspan_i;Spanningenindex;"Index gebaseerd op 8 stellingen over spanningen die bewoners ervaren in de buurt. Hoe lager de score, hoe minder spanningen er zijn (100= gemiddelde score voor Amsterdam in 2011). 

De buurtcombinatiecijfers zijn gebaseerd op de WIA-buurtindeling.";OIS;jaarcijfer;1 keer per jaar
2191;Leefbaarheid;Lnegaho_p;% Negatieve houding homoseksualiteit (VO4);Percentage 4de klassers dat een negatieve houding tegenover homoseksuele schoolgenoten heeft;Jeugdgezondheidsmonitor Amsterdam - GGD Amsterdam ;jaarcijfer;
2201;Veiligheid;Vveiligh_i;Veiligheidsindex;"De veiligheidsindex beschrijft de veiligheid van een gebied. De waarde 100 staat voor de gemiddelde veiligheid in de politieregio Amsterdam-Amstelland in 2014 (Amsterdam, Aalsmeer, Amstelveen, Diemen, Ouder-Amstel en Uithoorn). Hoe lager de score, hoe veiliger. De Veiligheidsindex is opgebouwd uit de drie deelindexen voor criminaliteit, overlast en onveiligheidsbeleving. De indexen zijn gebaseerd op politiecijfers en de Veiligheidsmonitor. 

De cijfers op buurtcombinatieniveau zijn gebaseerd op de buurtindeling van de veiligheidsindex. Verschillen tussen beide indelingen zijn buiten beschouwing gelaten.";OOV/ OIS;jaarcijfer;1 keer per jaar
2211;Veiligheid;Vcrimin_i;Criminaliteitsindex;"De criminaliteitsindex beschrijft hoeveel criminaliteit plaatsvindt in een gebied gebaseerd op politiecijfers en slachtofferschapgegevens uit de enquête Veiligheidsmonitor. Er wordt onderscheid gemaakt tussen High Impact Criminaliteit (HIC) en High Volume Criminaliteit (HVC). Een delict dat het slachtoffer persoonlijk raakt, zoals geweld, is een High Impact delict. Veel voorkomende delicten zoals bv diefstal uit een auto raken het slachtoffer in mindere mate en vallen onder High Volume delicten. De criminaliteitsindex is het gemiddelde van de HIC- en de HVC-index.  De waarde 100 staat voor de gemiddelde aanwezigheid van criminaliteit in de politieregio Amsterdam-Amstelland in 2014. Hoe lager de score, hoe minder criminaliteit. 

De cijfers op buurtcombinatieniveau zijn gebaseerd op de buurtindeling van de veiligheidsindex. Verschillen tussen beide indelingen zijn buiten beschouwing gelaten.";OOV/ OIS;jaarcijfer;1 keer per jaar
